country,date,transport_emissions_Mt,total_emissions_Mt,vehicles_per_1000,ownership_fraction,ev_share_vkt,grid_ef_g_per_kwh,ev_g_per_km,reduction_factor,ev_reduction_Mt,pct_of_total_reduced,GDP_per_capita_current_USD,Urban_population_percent,Fossil_fuel_energy_consumption_percent,Renewable_energy_consumption_percent
Georgia,2022,3.76,9.46,150.0,0.15,1.0,641.5999999999999,115.48799999999999,0.3584000000000001,1.3475840000000003,14.245073995771673,6729.84659930283,60.297,78.88,25.2
Bosnia and Herzegovina,2022,3.74,22.54,150.0,0.15,1.0,641.075,115.3935,0.358925,1.3423795,5.95554347826087,7655.59421024383,49.841,78.81,36.6
Syrian Arab Republic,2022,6.41,27.91,50.0,0.05,1.0,796.25,143.325,0.20375000000000007,1.3060375000000004,4.67946076675027,1051.67149587463,56.769,99.5,1.1
IBRD only,2022,4.04,11.58,150.0,0.15,1.0,679.322833029128,122.27810994524303,0.32067716697087206,1.2955357545623232,11.187700816600373,7745.39306575372,57.4051949405733,83.9097110705504,18.0085051596372
Upper middle income,2022,4.04,11.58,400.0,0.4,1.0,687.7937725114857,123.80287905206742,0.3122062274885143,1.2613131590535978,10.892168903744368,10310.8668761078,67.9126119225171,85.0391696681981,16.5853427587953
Late-demographic dividend,2022,4.04,11.58,400.0,0.4,1.0,687.9751630850735,123.83552935531323,0.3120248369149265,1.260580341136303,10.885840597031978,12280.1075352976,65.6035316403987,85.0633550780098,15.8291260683112
Mali,2022,2.81,5.62,50.0,0.05,1.0,553.7587433976297,99.67657381157335,0.4462412566023703,1.2539379310526606,22.312062830118514,969.72220560562,45.437,69.83449911968395,71.1
East Asia & Pacific (excluding high income),2022,4.04,11.58,400.0,0.4,1.0,690.8321109656899,124.34977997382418,0.3091678890343101,1.2490382716986128,10.786168149383531,10106.8725194012,59.2214841637791,85.444281462092,16.1762699381612
East Asia & Pacific (IDA & IBRD countries),2022,4.04,11.58,400.0,0.4,1.0,690.8429101965162,124.35172383537291,0.30915708980348383,1.2489946428060748,10.785791388653495,10220.360503609,59.1757435746239,85.4457213595355,16.2041019103429
East Asia & Pacific,2022,4.04,11.58,400.0,0.4,1.0,691.56337057652,124.4814067037736,0.30843662942348,1.2460839828708592,10.760656156052324,13084.2848090909,62.2257312651105,85.541782743536,14.8081424064458
Singapore,2022,6.92,47.36,600.0,0.6,0.8333333333333334,784.475,141.2055,0.215525,1.2428608333333333,2.624283854166667,55666.86673271664,100.0,97.93,1.1
Europe & Central Asia (excluding high income),2022,4.04,11.58,150.0,0.15,1.0,693.8565570811415,124.89418027460547,0.3061434429188585,1.2368195093921883,10.680652067290055,7247.60981221236,64.169725876266,85.8475409441522,10.0604471757322
Post-demographic dividend,2022,4.04,11.58,600.0,0.6,0.8333333333333334,632.8149762464548,113.90669572436185,0.3671850237535453,1.2361895799702691,10.675212262264845,51102.3562661077,82.0738786885386,77.7086634995273,14.4278548426441
OECD members,2022,4.04,11.58,600.0,0.6,0.8333333333333334,636.1253418579448,114.50256153443006,0.3638746581420552,1.225044682411586,10.578969623588824,44046.426245598,81.4656772954836,78.1500455810593,14.8380363213872
Lao PDR,2022,3.12,18.79,50.0,0.05,1.0,611.75,110.115,0.38825000000000004,1.21134,6.446726982437467,2046.40440255621,37.592,74.9,49.2
Botswana,2022,2.66,8.21,150.0,0.15,1.0,550.25,99.045,0.44975,1.196335,14.57168087697929,8328.70905682185,72.224,66.7,27.4
Europe & Central Asia (IDA & IBRD countries),2022,4.04,11.58,400.0,0.4,1.0,704.2873225621167,126.771718061181,0.2957126774378833,1.1946792168490485,10.316746259490921,11410.4415323006,67.0058080559943,87.2383096749489,8.02684416318492
Senegal,2022,2.49,9.86,50.0,0.05,1.0,524.075,94.3335,0.475925,1.1850532500000002,12.018795638945235,1574.0281059306,49.086,63.21,35.4
Albania,2022,2.2,5.56,150.0,0.15,1.0,462.95000000000005,83.331,0.53705,1.18151,21.25017985611511,6846.42669381643,63.799,55.06,41.9
Haiti,2022,1.46,3.33,50.0,0.05,1.0,192.75,34.695,0.80725,1.178585,35.39294294294294,1760.62635668777,58.82,21.7,76.7
North America,2022,4.04,11.58,600.0,0.6,0.8333333333333334,656.2508215326816,118.12514787588267,0.34374917846731845,1.157288900839972,9.99385924732273,55666.86673271664,82.9479010196301,80.8334428710242,12.4628823400948
Namibia,2022,2.1,4.25,150.0,0.15,1.0,451.175,81.2115,0.548825,1.1525325,27.11841176470588,4349.79908493314,53.956,53.49,30.0
High income,2022,4.04,11.58,600.0,0.6,0.8333333333333334,658.0316980164567,118.44570564296221,0.3419683019835433,1.1512932833445957,9.94208362128321,46655.1648590412,80.941962138335,81.0708930688609,12.7831808525723
Madagascar,2022,1.31,3.37,50.0,0.05,1.0,134.775,24.2595,0.865225,1.13344475,33.63337537091988,503.514533472879,39.882,13.97,83.1
Niger,2022,1.37,2.29,50.0,0.05,1.0,211.425,38.0565,0.788575,1.08034775,47.1767576419214,609.745147661683,16.894,24.19,79.6
Maldives,2022,1.12,1.91,400.0,0.4,1.0,50.0,9.0,0.95,1.064,55.70680628272252,11786.0091545343,41.536,0.0,1.2
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,4.04,11.58,50.0,0.05,1.0,740.3409408334977,133.26136935002958,0.25965905916650234,1.0490225990326694,9.058917090092136,2975.95566292741,51.8947837283828,92.0454587777997,11.2181326344417
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,4.04,11.58,50.0,0.05,1.0,740.3409408334977,133.26136935002958,0.25965905916650234,1.0490225990326694,9.058917090092136,2970.11428767476,51.7147486556237,92.0454587777997,11.2025085485546
Estonia,2022,2.46,16.0,400.0,0.4,1.0,574.625,103.43249999999999,0.42537500000000006,1.0464225,6.540140625,28451.1477825175,69.609,69.95,38.0
"Middle East, North Africa, Afghanistan & Pakistan",2022,4.04,11.58,150.0,0.15,1.0,759.7642690505293,136.75756842909527,0.2402357309494707,0.9705523530358616,8.381281114299323,6383.39839256713,54.9664853093317,94.6352358734039,7.54675702757893
Fiji,2022,0.99,1.9,150.0,0.15,1.0,50.0,9.0,0.95,0.9405,49.50000000000001,5405.03006162671,58.229,0.0,28.4
"Hong Kong SAR, China",2022,4.04,11.58,600.0,0.6,0.8333333333333334,721.025,129.78449999999998,0.2789750000000001,0.9392158333333336,8.110672135866439,48825.8441873536,100.0,89.47,0.4
Arab World,2022,4.04,11.58,150.0,0.15,1.0,768.7946250676302,138.38303251217343,0.23120537493236984,0.9340697147267741,8.06623242423812,7931.61789279006,59.0542670171409,95.8392833423507,5.17060073389405
Papua New Guinea,2022,2.13,7.46,150.0,0.15,1.0,573.7587433976297,103.27657381157334,0.42624125660237033,0.9078938765630488,12.170159203258027,3102.28968594061,13.582,69.83449911968395,54.6
